etichetă_joc,total_încercări,cuvânt_găsit,secvență_încercări
104,5,LEGITIMIST,L E G M S
105,6,CIOCĂNAÂ,E I O A Ă N
106,15,SITUĂRI,B R Ț T L D F M P S A Z V G Ă
107,9,MAIMUȚĂRIRE,D G I U Ț E S Ă R
108,7,CHELNĂ,A C E F I L Ă
109,7,EGOTISTĂ,A O N E T I Ă
110,16,PAMFLETULUI,A B C F L E T H Ă V O M R N G P
111,10,ZOBEASCĂ,I R V B U E S C Ă O
112,7,DEZGRĂDI,D E H R O Ă I
113,9,BARBET,I L M R U C N T E
114,5,ENUMERARE,O U M R A
115,8,DECIMETRULUI,A D C I T R U L
116,9,DISCUTABILITATE,D C A R S U T B E
117,8,ASEMĂNĂ,A C D I U M N Ă
118,7,VAMPIRICI,A C N O M P R
119,6,PATLAGEA,A C R T L E
120,6,POLARISCOP,P L A R I C
121,6,BIBLIA,B O C D N I
122,5,PLOPÂOR,L A Ă O R
123,7,SLUJINDU,A G S L J I D
124,5,MAZĂREA,M S Z R E
125,13,ÂERBEL,A E T C U Ă O L H I S V Â
126,14,CINEAZĂ,A B M V I L C S D F G R Z Ă
127,5,EÂUA,B Ț C E U
128,11,ACȚIONARĂ,L B R Z C I N T E O Ț
129,10,TASOANE,A D V B S E F L R T
130,16,BONCĂLUIASCĂ,C O M N L G T E P R X Î B Ă U S
131,21,BARTIȚE,C D I Ă E L U H T M R N Â O S J Z K G V Ț
132,2,CIL,A I
133,11,DEVOLUȚIE,A C D P V L R Â O Ț I
134,9,DISCROMATOPSII,C R U D S O M A T
135,14,IZRAELIANĂ,A B D P C H T E I F O Z L Ă
136,9,GĂLĂȚENCE,A N D R U Ă L Ț C
137,9,FIBRILAȚIUNE,B O F R L Ț E U N
138,17,LACTOGLOBULINĂ,B C T E R S D G L V Z F P O U N Ă
139,7,PLEZIOZAUR,P L E I A U R
140,13,AUIALĂ,D L T M S V X Z R E N Ă U
141,13,ÎMPĂRAT,M B U Ă I P C N H V T O R
142,10,INTERTEXTUALĂ,A T M I R C X U L Ă
143,5,BAILAGURI,B L G U R
144,21,TIPĂREAU,B M N T I G C D F H L O Ț P R S Z Â Î U Ă
145,6,NEMERNICI,A R O E M I
146,10,CĂMĂÂOAIE,I O Â L T M R S A E
147,9,CAPRELE,B C I U N E L O R
148,11,PASIMETRUL,A C T O N R M E I U S
149,16,ORTĂCIILE,A C V M R P B N Ă L H O Ț S G T
150,10,LAGODITI,A C T Â H S N L G O
151,4,PIÂTII,F O T P
152,16,PROBAȚI,A H L S E R I V N Ă O Â T M U B
153,5,PRAEGER,C U P R A
154,10,AUTORIZATĂ,C N I E R Z U L O Ă
155,8,GASTROTOMIEI,G A R O E H M I
156,12,ÎNCURCARE,B D S M O N Ă Î R A L U
157,19,FĂTUL,A C H T B I O R Â N D S E F J P M Ț Ă
158,13,SUPRAPRODUCȚIE,A C H L R D M T U P Ț I E
159,9,LITOBOL,L O A C J M V U T
160,10,DIASCOPURI,C N U R Ă D P L S O
161,13,VÂJÂIT,B C F Ț G M R S I Z H V J
162,4,DEZ-NĂDEJDE,E N Ă J
163,8,GÂRLIÂOARĂ,C P G L I O A Ă
164,13,OLIGANTE,B E R J M G F O C I V N T
165,13,FISCALĂ,A B T E R U C O D P Ă F L
166,13,ADOPȚIEI,G M S O U P T E F I Ă R Ț
167,5,VĂLVĂTAIE,L T A I E
168,14,OPINENTE,A D F L I N B C O X H M U P
169,11,CATEGORISEA,A F L I R N D T E G S
170,7,TÂLHUÂAG,C F T Â H U A
171,15,GRĂDINIȚELOR,A L X G R J C D I F O M S Ă Ț
172,15,FĂGĂDUI,B L T C N R D Ț Â M H P I F G
173,6,MEREMETISIȚI,M T I S L Ț
174,8,PROSPECTORI,C E Ă P I O M T
175,0,LV,
176,15,TELEPATIEI,A B P C E N O D F H M G R S T
177,7,TRĂNCĂNIRE,L O R Ă I E T
178,16,SUBÂIR,A B Â K F L P Ă V C G E Ț D S U
179,8,DESHĂMA,B C D E Z S M A
180,5,TICSIȚI,L P T C Ț
181,8,ANTROPOGEOGRAFIE,A N T O P E F I
182,10,CONTROVERSABILI,A R T E I O N V B L
183,9,SACRIFICABILI,M P R T S C F B L
184,8,CHESTIUNEA,A C U T N M H E
185,13,HETEROGAMI,B D C I V Ț N R G H O M A
186,17,NEINVITAT,D C P R S Z F H N Ă O L M Î V I A
187,2,ANSA,C S
188,15,DERATIZĂRII,A R O P C D G N I Z U Î L Â Ă
189,11,MEZONICI,A C R T G N B M E F Z
190,10,ZODIACALI,B I M N S T Z O D L
191,14,TĂIOASĂ,B N C F L M O A P T R Ț H I
192,13,HETERODOXIEI,A L E C O M R G T N F D X
193,13,MELOGRAN,A R B D G N Ă C Ț I M F L
194,6,BUCĂȚELE,A B U C Ț L
195,14,LISARE,A C G M N S T E J O V U Ă I
196,11,SERENATĂ,B C D Ț N L G T Ă S R
197,13,PALMITAȚI,B C O A T Ă F P I E S N Ț
198,13,COSTIÂĂ,A R I Ă B L E Â N C H M S
199,13,LIBERALISMUL,B C F H N V L G E R A M U
200,11,MAGHIRAN,A O Z H I R E Â U Ă N
201,6,CISTOFORI,B C S T F R
202,19,MOLDOVEI,A P B S N H O Â U G Ă T R C I Z D M V
203,5,INAUGU-RARE,I N U R E
204,13,GREUÂOARĂ,B I T G N O F C E D U Â Ă
205,14,FANEROGAMISTE,B A T U C O R E Ț F G M Â S
206,12,PROTEU,A P G F I N R S V E D T
207,10,PAÂTILE-CAILOR,P A R I C U Â L E O
208,13,VOLBUROS,B O T C F G M P A L R K V
209,17,VARIAȚIILE,A B C U D G L O R N I S M P Ă Z V
210,11,DEPISTABILE,A N T E P C G L M D B
211,11,PLUTONIER-MAJOR,P L U T O N I E M A J
212,8,COMUNICATIV,A L O M U N I T
213,6,PROTESTEZE,C P R O S Z
214,7,AZOOSPERMII,A S P E R M I
215,8,PSEUDOPATRIOT,S E U D O A R I
216,8,INTERNIST,I C A F T E Ă S
217,10,LUCERNĂ,A L T C I E X U F Ă
218,20,PURTĂREȚE,A C N H E I O M D R J V Z S Â L U B Ă Ț
219,10,INCONFUNDABILE,I C O D S F U A B L
220,6,BOTRIDII,A Z O T R D
221,6,CĂRUNȚIȚI,C A Ă R U I
222,5,BĂIEȚICĂ,B E Â Ț C
223,20,RÂGÂIA,N L O R I Ă C E P T U S H Z Ț D J Î M Â
224,14,DASEM,C I E F L B Z T M R U N P S
225,11,MICSANDREI-SĂLBATICE,M I C S A N D R Ă B T
226,7,BIOECONOMICI,I E C L R N M
227,3,BERZELE,B E L
228,16,PROMOVAREA,B C I F G P E D O N Z U T S V M
229,12,PRĂDA,L S Â R C V I T J Z D A
230,9,CEREȚI,A C R U L P S B E
231,9,CRISTALOGENE,A C N T L I E R S
232,13,LINÂEZE,B O C L A U D T E H M N Â
233,5,REDEÂTEPTARE,R D T P A
234,11,COROMÂSLĂ,C I D N E A Ă M Â R S
235,2,SUSAI,A I
236,10,MARTURIE,B I E C F G M Ă T U
237,6,POR-NIRE,D U P R I E
238,13,MĂMULĂRIILE,A P B C O R E Ț M Z T U Ă
239,14,NĂSILNICI,A U B Ă N E D O G L T P R I
240,6,STATUARE,C O S A U R
241,7,NUCLEE,A Ț B C I L E
242,7,MONDOECONOMIA,C R O N D E I
243,3,CERCE,B T C
244,6,METOPOSCOPIE,M E T S C I
245,11,ÂERGUIAT,A B D L N P E G I U T
246,6,CITOZOOLOGIEI,C T O L G E
247,11,COTOLAN,B A Â C R F H M L I N
248,14,JARGONAFAZIEI,A O B G L C F M P T I J N Z
249,14,CIRCALOM,C E I O B H Â U R G T Z N M
250,16,DIRECȚIONALĂ,E I L Z M T H F R O U A S Ț N Ă
251,8,PUPUITURĂ,B D I T H J P Ă
252,12,SLIMUI,A G P C N T S E O R U M
253,5,LEÂILOR,A E Â O R
254,12,VACANTABILE,A E P D O I N L S U V T
255,5,SULTANIN,S U L A I
256,7,LIMBA-PĂSĂRII,L M A P Ă S R
257,10,MIERȚĂ,A L T B C R I N M Ă
258,17,RĂPOSEAZĂ,B G N C Â L H M U A D R V P O S Z
259,11,OSTEOBLASTE,N S Ă E I O X F C B L
260,15,PREFIXALI,A C M Ț P T R D U F N O Z X L
261,6,CONTRATIPIA,C O N T R P
262,9,PRIETENILOR,A C R S E P O L N
263,6,BLĂNĂRIEI,A B L N R E
264,9,NARCOLEPTIC,A R O B L E P T I
265,13,ÂOÂELE,A T N R B Z I O C U D F Â
266,18,FRAGILELOR,A C D M N U T B L Ă R V F P S E X G
267,15,TĂBĂCIRII,A E M G S U Z B C D Ă L N P T
268,13,TAUTOMERII,B L S R E I N Â P O C T U
269,12,VERTICILIOZĂ,H P A L R N V E C O Z Ă
270,14,TABARE,B C V N Z F G I H L M Ă E T
271,11,VOLUMETRICI,B C L M I F R P V E T
272,10,ZĂPORI,C A I Ă Â L T R D Z
273,9,RESPECTUOASĂ,C R T Ă O P Z S U
274,10,MARCASITE,C R E U L N I B T S
275,4,FER-FENIȚI,F R N I
276,21,DIRIGINȚI,A I C W E N J G L U T O M S Ă Î V P F Z Ț
277,7,FOCALIZAT,A L I E F O T
278,8,MUZICOLOGE,D M U I C L G E
279,13,ZGĂRDUȚEI,A E N T H Ț R S O Z Ă D U
280,14,ETEROGREFĂ,A C L V N R H I G E M P Ă T
281,8,ARACHNOIDE,A D U R H N I E
282,8,NEÎNGRIJESC,N E D G R I J C
283,17,COSEMNATARĂ,B D L V Â M A R E Z C N S U G I T
284,14,OROGENE,A L C D O F H M N I P V X R
285,14,ULUITOR,A B I Â G P C Ă E F U T N R
286,11,CÂRCIOGARULUI,A P B C E Â R M O G L
287,11,ORGANOTROPISM,A C F S E O R G T I M
288,14,INTEMPERAȚI,S A C M O E D Â U Ț L P T R
289,9,CELOMATE,A D L M N U R T O
290,10,COMPITALE,A C R O I L T J N M
291,17,ÂOPTESC,A R I B L Ț Ă N E C X U P M Z Â S
292,6,ERITROPOIEZĂ,R T O P Z Ă
293,3,HUȚUȚĂ,H A Ă
294,10,PURTATĂ,A Â R I C O U E S Ă
295,8,CORESPONDENȚE,C R E S P N A Ț
296,8,INTERPUNCȚIE,I D T E R P U Ț
297,9,ASTUPĂ,A C I E T R O U P
298,16,RĂSCROIELII,A M N E D B I S R T F P U G Ă L
299,7,DOAGELE,A C G B O P D
300,5,BRIEI,A N Z B E
301,6,ALBUREA,L N I U R E
302,4,LARVIVOR,L R I O
303,1,BAOBAB,O
304,5,ÂIRETENIE,H Â R T N
305,11,PRECOMPETIȚIONAL,A M O N Z P E C T Ț L
306,14,ÎNÂIRAȚI,A D B E M S N Z C T Î F Ț Â
307,13,DOCUMENTAȚIA,B L C I N T R S D U M A Ț
308,10,NOMENCLATURISTE,C U R N T S O M L A
309,8,INVENTARULUI,I T A G V E R U
310,12,MARCHIZI,B E U G I Â F C T M A Z
311,8,PROTEZEZ,A C G P E I O T
312,5,INVIZIBILULUI,N V Z L U
313,12,ȚĂRĂNIMII,B C T D M L P S R Z N Ț
314,7,ARMONIE,C O L E R N I
315,7,TABLAGIII,F L R G I Ț T
316,6,EPARVENE,C N O P A V
317,8,BLAGOSLOVENIE,B L A G O E N I
318,4,ZAHARIC,A H R I
319,4,URSĂRESEI,U Ă E I
320,6,DIVIZIONISM,D V Z O N S
321,14,CENTROID,A L O I M E Ă T B Â J N S D
322,11,CODOBATURI,A B O M N C R U L P T
323,4,BIMBAÂEI,B A Â E
324,10,SEDUSE,A C Ă E I F H Ț N S
325,16,TRIFOLIAȚI,C U S I B R Z O G D F T E N P Ț
326,7,ORIGINALULUI,F O R N A L U
327,10,VERLAG,A N B C D E P R O V
328,10,EGALITARISM,D F C G A L T R S M
329,10,PUNCTATORULUI,C R P T L G F U N I
330,11,EXTORCHEZ,A N R I U D E X O C H
331,7,ACULTURAȚIE,A E L R I U T
332,10,SECERATĂ,B D G L S N R A Ă C
333,13,NEUROÂTIINȚA,A F M N C E X U S O I Â Ț
334,13,TIMIÂENCE,A I L Â P D F T Ă S O N E
335,8,JUXTAPOZIȚII,U X T A P O Z Ț
336,4,OKTOVRII,R T I V
337,17,ZUPĂIT,A S C T V O U R D H J L M E Ă Â Z
338,9,DOPAJ,E B T U C O L D P
339,13,CĂTUÂNICĂ,B C P F H M L T R I A Â N
340,6,AGARLÂCURI,G R L C U I
341,7,FASONATORI,B F S O T R I
342,5,INSTITUTOR,I S U O R
343,8,NITRIFICATOARE,C P N T F A O E
344,15,FLECARI,L O T Ț N P U E B R Â D V F I
345,4,LUT,A O I U
346,10,CREUZETE,A C L Ă D I F E R T
347,6,TUNĂTOR,A U E Ă O R
348,5,ÂTIINȚELE,Â T N Ț L
349,5,CELULOZIC,E L U O I
350,5,ARISTROCRAT,I S T O C
351,13,LUMINANȚEI,D X O P R I S F L U M A Ț
352,20,PORTIV,A B N U Ă O T C E V Â D F G H J M Ț L P
353,9,TROFEU,C G A I U E P T O
354,13,CONTINUA,A C O L N D E G M P S V T
355,16,INSINUAȚIILE,B C O M T D E H P I N R G Ț L U
356,11,EDITĂRI,A G L V B C U E D T R
357,5,TURUIALA,B T R I L
358,10,BIOCRONOLOGIEI,A B I O T R D C L E
359,13,CAMPIONUL,A B D M F R L O Ă V P N U
360,12,SĂRĂNTOACE,A B S E I C U R H Ă Â O
361,13,ÂTRANDURI,B L M N I S C E P T D U R
362,4,DIAPEDEZEI,A P E Z
363,11,DĂRĂPĂNARE,A O C H S T I E D Ă N
364,15,BRONHIEI,A C L R O F P N D Ă Â Z S H E
365,9,MICRORAIOANE,D C R B I M P N E
366,6,MUSTRA-RE,I U S T R A
367,4,IMINE,D L M N
368,3,VERC,B R V
369,14,ÎNCAPSULĂRII,M B R Ă Ț P A C H N G S U L
370,18,SÂMBURII,A I C E O Ă L U H M Ț T V D G P S Â
371,5,SAGITTAL,A B G T L
372,6,PLEUROSPERMUM,L U R O S M
373,14,FLECARĂ,A M B I C H O U E S Â X F R
374,18,PROSTEZĂ,A M N S C B L I R D G X T P Ă Â F Z
375,9,URLETUL,A C I M S B L E T
376,18,GANGELUI,A B F O M Ă N T S R D Â C P U I H G
377,6,CĂTRĂNITURI,A N C R Ă U
378,12,FUMĂRAIA,B D E U N Y S J F Ă R I
379,10,COORDINAT,C O P B H L D N T I
380,6,CERNAVODENCE,C E A V O D
381,16,CAPRIN,A D M U E L T V B O P R Ț H Ă N
382,9,ANCESTRALĂ,A C E O L B N T Ă
383,18,URSOAIE,A B I T N L P M Ă C V G O U F H D S
384,7,ADMINISTRARE,A D M I S T E
385,7,PNEUMOPERITONEE,P N U M O R T
386,5,INTIMIDĂRII,N M D Ă R
387,8,NONÂALANȚI,A N I H C F O Â
388,20,RĂUTATEA,A C D F J L N S B R X O Z T I G Â P M Ă
389,15,CVADRUPLEZE,A D R I T U M S H O B V P L Z
390,12,DESPĂIVĂNA,E Ă R O S A N Ț I L C V
391,7,AMIELINICI,A B F I E L C
392,12,PURTĂRILE,C E Ă Ț F M P O S U L I
393,11,NESTORIAN,B T A H C D N O R P I
394,17,SCĂRICELEI,A N T P E O B C I M G U Ă H X F S
395,14,SCÂRBELNICI,A H T V O S L G E D Â R B N
396,5,SAPIENS,A B P I N
397,5,FILIAȚIE,F L T Ț E
398,6,REGULARIZARE,E G U L I Z
399,10,DESPRINZÂND,C O D M S P R I Z Â
400,10,CUNETĂ,A D L M N T B O C U
401,5,ARĂMESE,A C R M S
402,15,SCĂPĂRĂRI,A B O C T D H L R E N P G U Ă
403,2,ALIFI,L I
404,12,SUBTILIZĂRI,A T O C J P R S I Z B L
405,10,ADORAȚIEI,A B R Ț G L N Ă O D
406,8,CIRITEI,L B R P N V T E
407,8,ÎNȚELESURILE,Î N L P S U R I
408,16,PREZIÂI,A N Ț R T E C L Ă O V Â J U M Z
409,8,MILOSTENIILE,F M O S Â T E N
410,17,HIPOGEI,A B C D G I T U R F Ă P Z N L V H
411,7,TERȚIARĂ,H P T E I A Ă
412,15,PEȚIOL,A H N R I U E D C O M T Z S Ț
413,9,ESPLANADĂ,T E C L M P N D Ă
414,12,STUPINIȚĂ,A R E I Z S C U N G P Ă
415,7,MOTOSCUTERE,N M T S U E R
416,9,TÂRÂUIALĂ,G H P T R U A L Ă
417,13,COMUNIEZ,B A E Z Ă P C T N L U S I
418,7,NETREBNICIA,B R L N T I A
419,10,SANATORIALE,A B I T O E M P S N
420,8,TĂTÂNESC,A I U Â E N S C
421,17,TAXOLOGIEI,A B R C O F N L Ă Ț U T M D S X G
422,16,PĂLMUȚEI,A L I R F S E N C Ț O D Â Ă Z M
423,11,BLANÂIRUIRE,A D L I T E M S B Â R
424,15,GRANDOARE,M R J B Â C F G U P D I O Z E
425,4,IODHIDRICI,D H R C
426,6,MILILAMBERT,L A B E R T
427,16,DECLARANTĂ,A N Â I O S D E M B U R F Ț T Ă
428,8,PUȚEA,B Ă H E M P C U
429,19,SOMNOLENTE,A B D G R S C O M Ă U Â X F I Z J L N
430,9,DIFTONGI,A B R C D I F T N
431,16,TEXTURATE,C N Z R L I D S T P M A B V O X
432,7,CENTIMETRULUI,C N T M R U L
433,14,ÎNFĂȚIÂEZ,N E U I R O P L T Â Z D Ă Ț
434,17,SCOROJIȚI,A P B L T C R E G M F Z N S J D Ț
435,8,HECATONSTIL,H E C A O S I L
436,4,HIPPYSM,I Y S M
437,16,CĂȚELANDRU,B I L N E C T G M Ț Â V A D S U
438,16,STEREOMETRE,A L M V N C H I Z E R Ă G F B T
439,8,INSECTICIDĂ,N D E F J S C Ă
440,2,SPO-I,P O
441,6,NONVIOLENȚI,O I L E T Ț
442,8,DESHIDROGENA,E S H I R G N A
443,12,EVOLUȚIEI,A L C P F I Z V Ă R E U
444,11,INCIZURI,A B C H O D E F I N R
445,15,UBERITATE,B C L M S T R I Z P N H Ț O U
446,7,SUPERREZISTENT,U E R Z I T N
447,8,CONEXIONISMULUI,C N E X I M U L
448,8,AULĂ,D G L E T I R Ă
449,10,ZOOBOTANICĂ,A V B U G O T I C Ă
450,11,RĂSFĂȚĂRII,E C M I T Ă O N U F Ț
451,8,TROPĂITURII,A C O M T R Ă U
452,1,RELEE,L
453,7,BARBOTEAZĂ,B L R O T E Ă
454,15,CNEAGHINĂ,B C V N E T L O R Z S Ț G H Ă
455,10,NECONSOLIDĂRII,E C F R T S L I D Ă
456,4,FUNINGINI,A F U N
457,7,CUSUTURĂ,B C M T L S Ă
458,10,VÂSLEÂTE,B C R G M L T H V S
459,13,SAGINA,A F L R U J E Â P O Ă I S
460,8,REPAUZĂRI,E A L Â P U Ă I
461,17,SUVERANĂ,A C R M B L I T Z O V E D P S F Ă
462,18,DOGESC,A M N P R Â B Y C E T I L U Ă J S G
463,6,CLOROMETRUL,C L R M E T
464,15,FARADEICĂ,B H L I C N T R G P S U D E F
465,9,ACRONIMĂ,A R I Ț H T O M Ă
466,8,FASCISTĂ,A B D F I T E Ă
467,12,TORIÂTE,A M R O N B C I H L Ă T
468,5,CERUIRE,B C N R I
469,7,CAUZELOR,A B C R E L O
470,18,ROBUSTE,A I N Ț L Ă C T Â E D F J M R Z S U
471,8,REAUDIEZ,C Z L R N E I D
472,6,TALHÂÂCIU,T A L C I U
473,7,CADENȚARE,A S T E N Ț R
474,9,FORMAU,B G L R C I F M A
475,16,HURICAN,B C R I T O Ă H Ț E J M P S Y U
476,7,DEIFICAT,A R T L E D F
477,7,PLEBEI,A B E C R Ț P
478,17,SUPĂRAT,B D L T E I S P C M F G U V Î N Ă
479,4,OȚĂRÎ,O R A Î
480,7,FLUDE,A E I O U N L
481,5,COPÂRÂEIE,C O P Â R
482,6,BUCĂCIOARĂ,B U I O A R
483,18,ARGOTIZEAZĂ,B C V D G L M N P R I S U J O Z E Ă
484,4,CALIFAL,A G C F
485,6,EXTRAPLEURAL,E X T R L U
486,15,REZOLUTORIE,A B E R M N K P V T L G S Z U
487,11,GHUPA,I C E N R G M D L U P
488,5,SUBRAU,B O L R A
489,11,DRAIFUSE,L N R H Â C D I F U E
490,4,DECALCĂ,D A L Ă
491,17,JUNIMISTĂ,A C L R H B V O S Â E N J U M F Ă
492,11,ÂTEARSĂ,A B L N C E S T I D R
493,6,PEÂTI-EVANTAI,P E T I V N
494,8,PRAMATIILE,A L Ă D P R T E
495,8,CARCINOM,A B E T C I N O
496,11,FAPTNIC,A R E C B O D M F T N
497,4,DISIMILA,D M L A
498,8,INDIVIDUALIZANȚI,I D V U L Z T Ț
499,12,MASAJUL,B G N R C U S I H M F J
500,7,ALUMINIFERE,A L U M N E R
501,13,PREZLI,A L Ă I S T B O C D N P Z
502,8,CRONOPATOLOGIA,C R P A T L G I
503,8,COMPUNCȚIOS,D M P U N Ț I S
504,7,ANTROPOFOBIA,N T R P F B I
505,9,TIRANIZARE,B G N A R T L S Z
506,8,CIFRĂ-LIMITĂ,A O I F R Ă M T
507,10,PĂRINȚENIE,A U E C Ă I J M R Ț
508,8,PIROGRAVEZ,P I O G A T E Z
509,13,GALAXIEI,B L C N O M R Ț T I S X E
510,19,DISCORDEAZĂ,B G L P T C A N F R V D E H M S U Z Ă
511,13,COFRAJULUI,B C A T E I V P L G F J U
512,5,VÂRTOP,H V R T O
513,3,RETRORS,E T S
514,7,CUTREMURĂTORI,C U T E M O I
515,5,OBLOJELE,A R B L O
516,4,GURII-LUPULUI,G R L P
517,9,SINDESMOLOGIE,C I N D M O P L G
518,16,REZIDA,B C T D M L Ț P R Â O Z F G J E
519,23,ACIDĂ,A B C R F L M P T Z Ț H N U E X G V O J S Â D
520,11,TIRANULUI,C Ă L O G M N E R A U
521,4,AZOICI,A E O I
522,13,HEMOFILIA,A C R E G L B I N H Z X M
523,7,MORCOV-PORCESC,M R C V P E S
524,12,BUFONE,B A E T N I M R S Ă C O
525,7,ÎNCETĂȚENITE,D C E T Ă Ț I
526,11,COPAIER,A C T N B U V L O P I
527,6,ARVUNIRII,A C T R V U
528,8,NOTONECTĂ,B U L O T C A Ă
529,9,CALIMETRIE,A O U B C L I M T
530,7,REPUDIEZE,D C P R V I Z
531,9,CONSTRUCTIVIÂTI,C N S R U I V E Â
532,7,MĂRMUREASCĂ,G M U E A S C
533,12,PERSONALE,C T U D S L I N A R Ț O
534,6,ZGHIHUIELII,A Z G H U L
535,13,PLICTISEASCĂ,A B E O S M C R G P F I Ă
536,10,VOIND,A F G M P T V N Â O
